Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
5,4,5,3,1,3,2,2,Never,most of the day,3,21,1,male,city
5,1,4,2,2,2,3,3,Never,most of the day,1,22,1,female,city
5,2,5,3,5,3,3,1,Never,few hours a day,3,21,0,female,city
4,4,5,2,1,2,1,3,Never,less than an hour a day,1,30,1,female,village
5,1,5,5,1,5,1,1,Never,less than an hour a day,1,19,1,female,city
5,1,5,3,1,5,4,5,Never,few hours a day,1,19,1,female,city
4,4,5,5,1,3,1,1,Never,most of the day,4,23,0,male,city
NaN,2,5,5,2,4,5,1,Never,few hours a day,3,24,2,female,village
5,3,4,2,3,4,2,2,Never,few hours a day,4,17,0,male,city
4,3,5,2,2,2,5,3,Never,few hours a day,3,26,1,female,city
3,4,5,4,3,4,1,1,Never,few hours a day,3,19,1,male,city
5,5,5,3,3,5,5,5,Never,few hours a day,2,20,1,female,city
4,5,5,1,3,1,3,4,Never,most of the day,1,26,3,male,city
5,3,5,5,5,4,5,4,Never,most of the day,4,27,1,male,NaN
5,2,5,2,1,5,5,1,Never,few hours a day,3,21,0,female,city
5,1,3,4,1,4,3,3,Never,few hours a day,4,19,1,female,city
5,1,5,5,2,5,2,5,Never,less than an hour a day,5,29,0,male,village
5,1,5,4,1,1,3,3,Never,few hours a day,3,18,2,female,city
5,1,4,1,4,3,5,3,Never,few hours a day,3,27,3,male,city
5,4,5,3,1,4,5,5,Never,few hours a day,1,16,1,female,village
5,1,5,2,2,2,2,5,Never,few hours a day,1,18,3,female,village
5,4,5,3,1,3,1,4,Never,few hours a day,5,21,1,male,city
5,1,5,4,1,5,4,3,Never,few hours a day,2,27,1,female,city
5,5,5,3,4,5,3,2,Never,few hours a day,1,17,2,male,city
5,5,5,3,4,1,2,1,Never,few hours a day,1,26,5,male,village
3,3,3,1,1,1,5,5,Never,few hours a day,3,22,1,male,village
5,1,5,4,5,5,2,4,Never,few hours a day,3,16,1,female,village
4,3,4,3,4,2,2,1,Never,few hours a day,1,26,1,male,city
5,1,4,5,2,1,1,5,Never,few hours a day,2,23,1,male,city
5,2,5,4,1,5,3,2,Never,most of the day,3,21,0,male,city
5,2,5,2,2,5,5,3,Never,few hours a day,3,19,1,female,village
5,1,5,3,1,5,4,4,Never,few hours a day,1,20,1,female,village
5,1,5,5,3,1,2,4,Never,few hours a day,3,22,1,male,village
5,1,4,1,1,4,5,3,Never,most of the day,4,21,1,female,city
5,1,5,4,1,2,4,3,Never,few hours a day,5,20,1,female,city
5,1,5,3,4,1,2,3,Rarely,most of the day,5,19,1,male,city
5,2,5,4,4,3,5,4,Rarely,few hours a day,5,21,1,male,village
4,3,5,4,3,2,2,3,Rarely,most of the day,2,19,1,female,city
5,4,2,1,1,1,4,2,Rarely,few hours a day,1,19,1,male,city
5,1,5,2,1,1,1,4,Rarely,few hours a day,4,20,1,male,village
5,2,5,4,3,5,1,2,Rarely,few hours a day,4,20,0,female,village
5,5,5,3,1,5,1,3,Rarely,few hours a day,5,22,1,female,village
5,1,5,2,1,4,1,1,Rarely,few hours a day,1,19,0,male,city
5,4,5,3,4,4,2,2,Rarely,few hours a day,1,30,2,male,city
5,1,3,5,1,5,5,4,Rarely,less than an hour a day,3,19,1,female,city
5,2,5,4,2,5,5,2,Rarely,few hours a day,1,18,1,female,city
5,1,5,5,1,5,3,4,Rarely,few hours a day,5,18,1,female,city
3,1,5,5,5,4,2,1,Rarely,few hours a day,3,25,1,male,city
5,1,4,5,3,2,3,3,Rarely,most of the day,4,28,2,female,city
3,1,5,1,5,4,4,5,Rarely,most of the day,2,22,2,female,village
4,2,5,2,3,3,4,2,Rarely,less than an hour a day,4,17,2,female,city
5,2,5,4,1,2,3,4,Rarely,most of the day,1,20,2,male,city
4,3,4,1,4,3,1,2,Rarely,few hours a day,2,21,2,male,city
4,2,5,1,3,3,5,5,Rarely,few hours a day,1,17,1,female,city
5,3,3,5,5,5,1,2,Rarely,most of the day,4,23,0,male,city
5,3,4,2,2,1,5,3,Rarely,few hours a day,3,20,1,male,city
5,2,3,1,1,2,1,1,Rarely,few hours a day,3,19,4,male,city
4,1,3,5,2,3,1,3,Rarely,most of the day,1,23,1,male,city
5,3,5,1,1,3,2,3,Rarely,few hours a day,4,18,2,male,village
5,1,5,1,4,5,5,5,Rarely,most of the day,5,15,1,female,village
5,4,5,3,3,1,2,5,Rarely,few hours a day,4,20,NaN,female,village
5,2,4,1,1,3,1,4,Rarely,few hours a day,1,21,1,female,village
4,1,5,5,1,4,1,3,Rarely,few hours a day,2,19,0,male,city
3,3,3,3,1,4,4,4,Rarely,few hours a day,4,21,1,male,village
5,NaN,5,3,1,3,1,4,Rarely,less than an hour a day,2,22,2,male,city
5,1,5,4,1,5,1,5,Rarely,most of the day,1,17,1,male,village
