Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Number of Siblings,Feels Lonely
5,1,4,2,3,3,5,3,4,few hours a day,2,27,0,male,city,0,FALSE
5,1,5,5,1,3,5,3,3,few hours a day,3,26,0,male,city,0,FALSE
5,1,5,2,2,3,2,3,5,few hours a day,4,21,0,female,city,0,FALSE
5,4,4,2,3,2,2,3,3,few hours a day,4,19,0,female,city,0,FALSE
5,1,5,3,2,2,4,5,5,few hours a day,3,20,0,female,city,0,TRUE
4,1,4,4,4,1,1,3,2,few hours a day,4,21,0,male,city,0,FALSE
5,3,4,4,2,2,1,2,4,few hours a day,3,23,0,male,city,0,FALSE
5,1,5,3,2,5,5,2,4,few hours a day,2,19,0,female,city,0,FALSE
5,1,5,3,1,2,2,5,3,few hours a day,2,21,0,female,city,0,TRUE
4,3,4,3,4,5,1,5,4,most of the day,4,22,0,male,city,0,TRUE
5,4,5,4,1,5,5,2,4,few hours a day,2,21,0,female,village,0,FALSE
5,3,4,4,1,1,2,5,2,few hours a day,2,21,0,male,city,0,TRUE
5,1,5,5,1,5,3,3,3,most of the day,3,21,0,female,village,0,FALSE
5,2,4,3,3,5,2,1,3,less than an hour a day,4,17,0,female,city,0,FALSE
5,1,5,3,5,4,1,4,3,few hours a day,3,17,0,female,village,0,TRUE
3,1,3,1,1,2,1,5,5,most of the day,3,23,0,male,city,0,TRUE
5,3,5,4,1,1,4,2,3,few hours a day,4,20,0,female,city,0,FALSE
5,1,5,2,1,4,4,3,4,few hours a day,3,22,0,female,city,0,FALSE
5,3,5,5,3,5,5,1,4,few hours a day,2,21,0,male,city,0,FALSE
5,2,5,4,1,5,1,3,4,few hours a day,2,18,0,NaN,village,0,FALSE
5,4,5,2,1,4,4,3,2,few hours a day,3,15,0,male,city,0,FALSE
4,1,5,3,4,1,4,5,4,few hours a day,4,21,0,male,city,0,TRUE
5,1,5,5,1,1,2,4,3,most of the day,4,20,0,male,city,0,TRUE
5,1,5,3,1,5,2,3,4,few hours a day,5,22,0,female,village,0,FALSE
4,1,5,4,4,1,3,3,3,few hours a day,3,19,0,male,city,0,FALSE
5,1,5,4,1,1,1,4,3,few hours a day,3,20,0,male,city,0,TRUE
5,1,5,2,1,4,1,1,2,few hours a day,1,19,0,male,city,0,FALSE
5,2,5,2,1,5,5,1,1,few hours a day,3,21,0,female,city,0,FALSE
5,3,5,2,1,3,5,5,3,few hours a day,3,17,0,female,city,0,TRUE
5,1,5,2,1,4,2,3,3,most of the day,3,21,0,female,city,0,FALSE
5,4,5,2,1,5,5,4,3,most of the day,3,18,0,female,city,0,TRUE
3,3,4,3,2,5,1,2,4,few hours a day,2,23,0,female,city,0,FALSE
5,3,3,5,5,5,1,2,2,most of the day,4,23,0,male,city,0,FALSE
5,1,4,5,1,4,2,2,3,few hours a day,4,23,0,female,city,0,FALSE
5,1,3,2,1,4,1,3,3,few hours a day,4,20,0,female,village,0,FALSE
4,5,5,2,4,5,1,2,3,less than an hour a day,2,23,0,male,city,0,FALSE
