city,county,model_year,make,model,electric_vehicle_type,n_cars
Seattle,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),1514
Seattle,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),1153
Seattle,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),1147
Seattle,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),1122
Bellevue,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),931
Seattle,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),805
Seattle,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),770
Seattle,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),705
Bothell,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),700
Seattle,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),699
Redmond,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),685
Seattle,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),624
Tukwila,King,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),608
Sammamish,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),595
Bellevue,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),553
Renton,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),489
Bellevue,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),453
Seattle,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),413
Redmond,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),410
Kirkland,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),394
Bellevue,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),392
Seatac,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),391
Seattle,King,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),377
Sammamish,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),367
Lynnwood,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),363
Seattle,King,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),360
Kent,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),354
Bellevue,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),352
Tukwila,King,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),352
Redmond,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),343
Bellevue,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),329
Bothell,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),327
Redmond,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),323
Seattle,King,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),309
Kirkland,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),305
Vancouver,Clark,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),296
Seattle,King,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),296
Kirkland,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),291
Sammamish,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),287
Bothell,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),278
Seattle,King,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),277
Seattle,King,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),274
Kirkland,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),273
Sammamish,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),264
Seattle,King,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),256
Everett,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),252
Seattle,King,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),249
Issaquah,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),249
Redmond,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),246
Renton,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),236
