country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
Finland,2,5,4,47,42400,81.8,155,86.8
Denmark,4,6,3,22,48300,81,154,152
Norway,3,3,8,11,66300,82.6,153,120
Iceland,1,7,45,3,47900,83,152,132
Netherlands,15,19,12,7,50500,81.8,151,122
Switzerland,13,11,7,16,59000,84.3,150,166
Sweden,25,10,6,17,47200,82.8,149,115
New Zealand,5,8,5,8,36500,81.9,148,162
Canada,20,9,11,14,44200,82.2,147,132
Austria,31,26,19,25,46900,82,146,124
Australia,7,17,13,6,45500,82.7,145,126
Costa Rica,42,16,58,75,15800,79.8,144,144
Israel,38,93,74,24,34100,83.3,143,76.2
Luxembourg,27,28,9,30,94300,82,142,141
United Kingdom,9,63,15,4,40400,81.1,141,113
Ireland,6,33,10,9,72400,82.3,140,126
Germany,39,44,17,19,46200,80.9,139,133
Belgium,22,53,20,44,43500,81.7,138,144
United States,37,62,42,12,56700,78.6,137,175
Czech Republic,24,58,121,117,34100,79.5,136,118
United Arab Emirates,72,4,,15,65700,73.6,135,101
Malta,16,12,32,5,39300,81.3,134,168
Mexico,67,71,87,120,18000,75.6,133,133
France,32,69,21,68,40000,83.1,132,107
Chile,58,98,99,45,23000,80,130,131
Guatemala,78,25,82,78,7610,73.1,129,132
Saudi Arabia,62,68,,82,48100,77.1,128,86.8
Spain,26,95,78,50,35700,83.3,126,85.6
Panama,41,32,104,88,23300,79.7,125,95.3
Brazil,43,84,71,108,14300,75.9,124,117
Uruguay,35,30,33,80,20900,77.3,123,111
El Salvador,83,74,85,134,7510,74.5,121,113
Italy,23,132,128,48,35800,83.5,120,88
Trinidad and Tobago,29,51,141,41,28500,74.5,117,162
Poland,44,52,108,77,29900,78.4,116,122
Uzbekistan,11,1,18,29,6490,70.7,115,27.6
Lithuania,17,122,113,124,32400,75.4,114,130
Colombia,52,56,124,111,13600,80.5,113,160
Slovenia,14,13,97,54,33700,81.4,112,75.1
Nicaragua,66,70,43,71,4620,79.2,111,116
Argentina,46,54,109,123,17500,77,109,132
Romania,86,57,146,102,25500,75.4,108,70.1
Cyprus,90,81,115,39,34500,82,107,101
Ecuador,71,42,68,95,10200,77.2,106,63.3
Kuwait,69,47,,42,64100,83.3,105,106
Thailand,53,18,131,10,17400,78.6,104,109
Latvia,34,126,92,105,27300,75.4,103,117
South Korea,91,144,100,40,37300,83,102,105
Estonia,12,45,30,83,32000,78.5,101,86.5
Jamaica,28,49,130,119,8310,74.9,100,135
Mauritius,54,40,96,37,21800,75,99,96
Japan,50,64,39,92,39700,84.5,98,74.2
Honduras,84,39,79,51,4630,74.3,97,131
Kazakhstan,19,80,57,57,25400,72.8,96,78.4
Bolivia,93,35,91,104,7150,73.3,95,75.2
Hungary,51,138,140,100,29600,77.2,94,95
Paraguay,30,34,76,67,12000,76.4,93,69.6
Peru,77,61,132,126,13000,80.8,91,62.9
Portugal,47,37,135,122,29300,81.8,90,78
