date,gdp
1979-01-01,2526.61
1979-04-01,2591.247
1979-07-01,2667.565
1979-10-01,2723.883
1980-01-01,2789.842
1980-04-01,2797.352
1980-07-01,2856.483
1980-10-01,2985.557
1981-01-01,3124.206
1981-04-01,3162.532
1981-07-01,3260.609
1981-10-01,3280.818
1982-01-01,3274.302
1982-04-01,3331.972
1982-07-01,3366.322
1982-10-01,3402.561
1983-01-01,3473.413
1983-04-01,3578.848
1983-07-01,3689.179
1983-10-01,3794.706
1984-01-01,3908.054
1984-04-01,4009.601
1984-07-01,4084.25
1984-10-01,4148.551
