iid,cid,invoice_date,total,bill_ctry
42,51,40000,1.98,Sweden
43,53,40000,1.98,UK
44,55,40001,3.96,Australia
45,59,40002,5.94,India
46,6,40005,8.91,Czech Republic
47,15,40010,13.86,Canada
48,29,40018,0.99,Canada
126,35,40372,1.98,Portugal
127,37,40372,1.98,Germany
128,39,40373,3.96,France
129,43,40374,5.94,France
130,49,40377,8.91,Poland
131,58,40382,13.86,India
132,13,40390,0.99,Brazil
209,18,40731,0.99,USA
210,19,40744,1.98,USA
211,21,40744,1.98,USA
212,23,40745,3.96,USA
213,27,40746,5.94,USA
214,33,40749,8.91,Canada
215,42,40754,13.86,France
292,47,41095,13.86,Italy
293,2,41103,0.99,Germany
294,3,41116,1.98,Canada
295,5,41116,1.98,Czech Republic
296,7,41117,3.96,Austria
297,11,41118,5.94,Brazil
298,17,41121,10.91,USA
371,8,41457,1.98,Belgium
372,10,41457,1.98,Brazil
373,12,41458,3.96,Brazil
374,16,41459,5.94,USA
375,22,41462,8.91,USA
376,31,41467,13.86,Canada
377,45,41475,0.99,Hungary
