iid,cid,invoice_date,total,bill_ctry
56,9,40062,1.98,Denmark
57,11,40062,1.98,Brazil
58,13,40063,3.96,Brazil
59,17,40064,5.94,USA
60,23,40067,8.91,USA
61,32,40072,13.86,Canada
62,46,40080,0.99,Ireland
140,52,40434,1.98,UK
141,54,40434,1.98,UK
142,56,40435,3.96,Argentina
143,1,40436,5.94,Brazil
144,7,40439,8.91,Austria
145,16,40444,13.86,USA
223,35,40793,0.99,Portugal
224,36,40806,1.98,Germany
225,38,40806,1.98,Germany
226,40,40807,3.96,France
227,44,40808,5.94,Finland
228,50,40811,8.91,Spain
229,59,40816,13.86,India
306,5,41157,16.86,Czech Republic
307,19,41165,1.99,USA
308,20,41178,3.98,USA
309,22,41178,3.98,USA
310,24,41179,7.96,USA
311,28,41180,11.94,USA
385,25,41519,1.98,USA
386,27,41519,1.98,USA
387,29,41520,3.96,Canada
388,33,41521,5.94,Canada
389,39,41524,8.91,France
390,48,41529,13.86,Netherlands
391,3,41537,0.99,Canada
