character,id,name
Yinsen,17857,Shaun Toub
"Virginia ""Pepper"" Potts",12052,Gwyneth Paltrow
Obadiah Stane / Iron Monger,1229,Jeff Bridges
War Machine,18288,Terrence Howard
Christine Everhart,57451,Leslie Bibb
Raza,57452,Faran Tahir
Tony Stark / Iron Man,3223,Robert Downey Jr.
Agent Phil Coulson,9048,Clark Gregg
Abu Bakaar,173810,Sayed Badreya
J.A.R.V.I.S. (voice),6162,Paul Bettany
Happy Hogan,15277,Jon Favreau
William Ginter Riva,12708,Peter Billingsley
Major Allen,40275,Tim Guinee
Director Nick Fury,2231,Samuel L. Jackson
General Gabriel,17200,Bill Smitrovich
Award Ceremony Narrator (voice),163671,Will Lyman
Guard,78299,Tom Morello
Guard,54809,Marco Khan
Guard,944830,Daston Kalili
Guard,1209417,Ido Ezra
Jimmy,95698,Kevin Foster
Pratt,1209418,Garret Noël
Ramirez,62037,Eileen Weisinger
Ahmed,183439,Ahmed Ahmed
Omar,109669,Fahim Fazli
Howard Stark,104669,Gerard Sanders
Viper 1,1209419,Tim Rigby
Viper 2,195442,Russell Richardson
Amira Ahmed,142213,Nazanin Boniadi
Colonel Craig,1209702,Thomas Craig Plumer
Dealer at Craps Table,1209703,Robert Berkman
Woman at Craps Table,183037,Stacy Stas
Woman at Craps Table,1209704,Lauren Scyphers
Engineer,214951,Frank Nyi
Air Force Officer,205362,Marvin Jordan
Jim Cramer,203468,Jim Cramer
Woman In SUV,939869,Donna Evans
Kid in SUV,1209705,Reid Harper
Kid in SUV,1209706,Summer Kylie Remington
Kid in SUV,1209707,Ava Rose Williams
Kid in SUV,1209708,Vladimir Kubr
Kid in SUV,1209709,Callie Croughwell
Gulmira Kid,1209710,Javan Tahir
Gulmira Mom,206423,Sahar Bibiyan
Reporter,133121,Patrick O\'Connell
Reporter,181895,Adam Harrington
Reporter,62843,Meera Simhan
Reporter,204606,Ben Newmark
Flight Attendant,210842,Ricki Lander
Flight Attendant,205720,Jeannine Kaspar
Flight Attendant,1005698,Sarah Cahill
Stan Lee,7624,Stan Lee
Air Force Lieutenant,1209711,Justin Rex
Zorianna Kit,90721,Zorianna Kit
Stan\'s Girl,169681,Lana Kinnear
Stan\'s Girl,1209712,Nicole Lindeblad
Stan\'s Girl,1209713,Masha Lund
Stan\'s Girl,169642,Gabrielle Tuite
CAOC Analyst,27031,Tim Griffin
CAOC Analyst,34544,Joshua Harto
CAOC Analyst,150669,Micah A. Hauptman
CAOC Analyst,1209714,James Bethea
Photographer (uncredited),1209715,Jeffrey Ashkin
Georgio (uncredited),1004624,Russell Bobbitt
Fireman\'s Wife (uncredited),984619,Vianessa Castaños
Gulmira Villager (uncredited),1209716,Mike Cochrane
Dubai Beauty (uncredited),1209717,Crystal Marie Denha
Dubai Girl (uncredited),970218,Mellany Gandara
House wife at Award Ceremony (uncredited),1209718,Halla
Insurgent (uncredited),1202546,Rodrick Hersh
Reporter (uncredited),1209719,Kristin J. Hooper
Dubai Waiter (uncredited),1209720,Chris Jalandoni
Party Guest (uncredited),1209721,Steve Janousek
Dancer in Ballroom (uncredited),1209722,Laura Liguori
Reporter (uncredited),1089759,Flavia Manes Rossi
Village Dad (uncredited),1096679,Anthony Martins
Reporter (uncredited),1209723,Robert McMurrer
Airforce Officer (uncredited),1209724,James M. Myers
Dubai Beauty #1 (uncredited),78434,America Olivo
Staff Sergeant (uncredited),1209725,Sylvette Ortiz
Journalist (uncredited),1209726,Brett Padelford
Voice (uncredited),1209727,Ajani Perkins
Reporter (uncredited),1209728,Chris Reid
News Cameraman (uncredited),1209729,Toi Rose
Rooftop Fireman (uncredited),1209730,George F. Watson
Whiplash One (voice) (uncredited),1209731,David Zyler
Reporter (uncredited),1429470,Nick W. Nicholson
