pid,tid
1,3063
1,2712
1,2641
1,2271
1,919
1,794
1,2381
1,1889
1,3439
1,2042
1,1718
1,1928
3,2920
1,2126
1,539
1,361
1,3457
1,743
1,2133
1,1258
1,1822
1,2394
1,3455
1,829
1,1793
1,2592
1,1761
1,891
1,1295
1,1191
1,526
1,1346
1,2563
1,1560
1,692
3,3243
1,1266
1,618
1,2653
1,1218
1,2587
1,1019
1,2087
1,1382
1,2445
1,2542
1,3385
1,1333
1,126
1,1396
1,3367
1,987
1,1837
1,2212
1,657
1,3117
1,2560
1,110
1,1617
1,2539
1,375
1,1601
3,2840
1,3049
1,1712
1,2682
1,1254
1,1298
1,441
1,43
1,1779
1,1903
1,1966
3,3429
1,2447
3,2897
3,3344
1,1607
1,432
1,2304
3,2857
3,2877
1,2953
1,765
1,1273
1,2477
1,531
1,1408
1,1646
1,1225
1,3031
1,2209
3,2908
1,612
1,1739
1,2155
1,1744
1,1692
1,671
1,834
1,3259
1,1125
1,899
1,563
1,29
1,241
1,1370
1,1233
1,1924
1,314
1,2532
1,525
1,166
1,2458
1,857
1,1410
1,1112
1,2612
3,2841
1,1137
1,591
1,443
1,2006
1,2763
3,3247
1,1426
1,1325
1,1376
1,903
3,2859
1,2598
3,3175
1,694
1,3376
1,1115
1,1557
1,1248
1,2200
1,3500
1,1523
1,1142
1,2320
1,83
1,2497
3,3216
1,521
1,2987
1,621
1,3099
1,2045
1,3445
1,2270
1,2165
1,2098
1,1610
1,1783
1,2162
1,2487
1,306
1,1199
1,3365
1,1476
1,490
1,2793
1,2547
1,2149
1,2280
1,229
1,3119
1,2289
1,2702
1,291
1,1467
1,869
1,2227
3,3171
