year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2010,9.8,9.8,9.9,9.9,9.6,9.4,9.4,9.5,9.5,9.4,9.8,9.3
2011,9.1,9,9,9.1,9,9.1,9,9,9,8.8,8.6,8.5
2012,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.1,7.8,7.8,7.7,7.9
2013,8,7.7,7.5,7.6,7.5,7.5,7.3,7.2,7.2,7.2,6.9,6.7
2014,6.6,6.7,6.7,6.2,6.3,6.1,6.2,6.1,5.9,5.7,5.8,5.6
2015,5.7,5.5,5.4,5.4,5.6,5.3,5.2,5.1,5,5,5.1,5
2016,4.9,4.9,5,5,4.8,4.9,4.8,4.9,5,4.9,4.7,4.7
2017,4.7,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.2,4.1,4.2,4.1
2018,4.1,4.1,4,4,3.8,4,3.8,3.8,3.7,3.8,3.7,3.9
2019,4,3.8,3.8,3.6,3.6,3.7,3.7,3.7,3.5,3.6,3.5,3.5
2020,3.6,3.5,4.4,,,,,,,,,
