state,international_plan,voice_mail_plan,churn,variable,value
LA,No,No,FALSE,total_day_calls,106.818
LA,No,No,FALSE,total_night_calls,96.909
LA,No,No,TRUE,total_day_calls,100
LA,No,No,TRUE,total_night_calls,119
LA,No,Yes,FALSE,total_day_calls,100
LA,No,Yes,FALSE,total_night_calls,84.25
NY,No,No,FALSE,total_day_calls,90.9
NY,No,No,FALSE,total_night_calls,100.8
NY,No,No,TRUE,total_day_calls,95
NY,No,No,TRUE,total_night_calls,101.5
NY,No,Yes,FALSE,total_day_calls,115
NY,No,Yes,FALSE,total_night_calls,121
NY,Yes,No,FALSE,total_day_calls,109
NY,Yes,No,FALSE,total_night_calls,99
NY,Yes,No,TRUE,total_day_calls,87
NY,Yes,No,TRUE,total_night_calls,113
LA,Yes,No,FALSE,total_day_calls,78
LA,Yes,No,FALSE,total_night_calls,90
LA,Yes,TRUE,FALSE,total_day_calls,69
LA,Yes,TRUE,FALSE,total_night_calls,104
NY,Yes,Yes,FALSE,total_day_calls,120
NY,Yes,Yes,FALSE,total_night_calls,78
LA,Yes,Yes,FALSE,total_day_calls,71
LA,Yes,Yes,FALSE,total_night_calls,101
