year,biological_sex,country,metric,value
1995,Female,Argentina,perc_obesity,20.2
1995,Female,Brazil,perc_obesity,15.3
1995,Female,France,perc_obesity,15.3
1995,Male,Argentina,perc_obesity,16.8
1995,Male,Brazil,perc_obesity,8.9
1995,Male,France,perc_obesity,12.8
2005,Female,Argentina,perc_obesity,24.2
2005,Female,Brazil,perc_obesity,20.1
2005,Female,France,perc_obesity,18.1
2005,Male,Argentina,perc_obesity,21.5
2005,Male,Brazil,perc_obesity,13.2
2005,Male,France,perc_obesity,16.9
2015,Female,Argentina,perc_obesity,28.5
2015,Female,Brazil,perc_obesity,24.9
2015,Female,France,perc_obesity,20.8
2015,Male,Argentina,perc_obesity,26.8
2015,Male,Brazil,perc_obesity,18
2015,Male,France,perc_obesity,21.5
